id,nama,deskripsi,kategori,harga
1,Laptop ASUS,Laptop Intel i5 RAM 16GB SSD 512GB,Elektronik,10000000
2,Laptop Lenovo,Laptop Intel i5 RAM 16GB SSD 512GB,Elektronik,9500000
3,Laptop Acer,Laptop Ryzen 5 RAM 8GB SSD 512GB,Elektronik,8500000
4,Laptop HP,Laptop Intel i5 RAM 8GB SSD 512GB,Elektronik,9000000
5,Laptop Dell,Laptop Intel i7 RAM 16GB SSD 512GB,Elektronik,12000000
6,iPhone 15,Smartphone Apple RAM 6GB Storage 128GB,Smartphone,12000000
7,iPhone 16,Smartphone Apple RAM 8GB Storage 256GB,Smartphone,15000000
8,Samsung Galaxy,Smartphone Android RAM 8GB Storage 256GB,Smartphone,8000000
9,Headset Gaming,Headset gaming wireless bluetooth,Audio,800000
10,Headset Bluetooth,Headset wireless bluetooth noise cancelling,Audio,600000
